Date,Open,High,Low,Close,Volume,Price_Change,Price_Change_Abs,MA_5,MA_10,MA_20,MA_50,EMA_12,EMA_26,MACD,MACD_Signal,RSI,BB_Middle,BB_Upper,BB_Lower,BB_Width,Volatility_5,Volatility_20,Volume_MA_5,Volume_MA_20,Volume_Ratio,Daily_Range,Daily_Range_MA,News_Sentiment,News_Sentiment_Pos,News_Sentiment_Neg,News_Count,Wiki_Views,Wiki_Views_MA_7,Wiki_Views_Change,Ticker,Target,Target_Return,Close_Lag_1,Return_Lag_1,Close_Lag_2,Return_Lag_2,Close_Lag_3,Return_Lag_3,Close_Lag_5,Return_Lag_5,Close_Lag_10,Return_Lag_10,Close_Diff_1,Close_Diff_5,OC_Gap_Lag_1,HL_Range_Lag_1,Price_vs_MA5_Lag_1,Price_vs_MA20_Lag_1,Volume_Lag_1,Volume_Lag_2,Volume_Lag_3,Volume_Lag_5,Volume_Change_Lag_1,Volume_MA_Ratio_Lag_1,RSI_Lag_1,RSI_Lag_5,RSI_Change,RSI_Oversold_Lag_1,RSI_Overbought_Lag_1,MACD_Lag_1,MACD_Signal_Lag_1,MACD_Hist_Lag_1,BB_Position_Lag_1,Volatility_Lag_1,Volatility_Lag_5,News_Sentiment_Lag_1,News_Sentiment_Lag_3,News_Sentiment_MA_5,News_Sentiment_Trend,Wiki_Views_Lag_1,Wiki_Views_Lag_7,Wiki_Views_Change_Lag_1,Wiki_Attention_Spike,Combined_Sentiment,DayOfWeek,Month,Quarter,WeekOfYear,Is_Monday,Is_Friday,Is_MonthStart,Is_MonthEnd,Sentiment_Volatility_Interaction,Sentiment_Volume_Interaction
2021-01-15,284.0,286.633331,273.033325,275.386658,116332800,,,,,,,275.386658,275.386658,0.0,0.0,50.0,,,,,,,,,,0.049385,,0.267867,0.094238,0.033286,21,22452,22452.0,,TSLA,281.516663,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,4,1,1,2,0,1,0,0,,
2021-01-19,279.266663,283.333344,277.666656,281.516663,76101000,0.02226,6.130005,,,,,276.329735,275.840732,0.489003,0.097801,50.0,,,,,,,,,,0.020129,,0.267867,0.094238,0.033286,21,16310,18901.0,-0.06917,TSLA,283.483337,0.006986,275.386658,0.02226,,,,,,,,,,,-0.030329,0.049385,,,116332800.0,,,,,,50.0,,,0,0,0.0,0.0,0.0,,,,0.267867,,,,22452.0,,,,0.267867,1,1,1,3,0,0,0,0,,0.0
2021-01-20,286.246674,286.5,279.093323,283.483337,76997700,0.006986,1.966675,,,,,277.43029,276.406851,1.023438,0.282928,50.0,,,,,,,,,,0.026127,,0.267867,0.094238,0.033286,21,16274,18463.166667,-0.002207,TSLA,281.66333,-0.00642,281.516663,0.006986,275.386658,0.029401,,,,,,,6.130005,,0.008057,0.020129,,,76101000.0,116332800.0,,,-0.345834,,50.0,,0.0,0,0,0.489003,0.097801,0.391203,,,,0.267867,,,,16310.0,,-0.273561,,0.267867,2,1,1,3,0,0,0,0,,-0.092637
2021-01-21,285.0,285.23999,280.473328,281.66333,61563300,-0.00642,-1.820007,,,,,278.081527,276.79622,1.285307,0.483404,50.0,,,,,,,,,,0.016923,,0.267867,0.094238,0.033286,21,15797,18082.285714,-0.029311,TSLA,282.213318,0.001953,283.483337,-0.00642,281.516663,0.000521,275.386658,0.022792,,,,,1.966675,,-0.009654,0.026127,,,76997700.0,76101000.0,116332800.0,,0.011783,,50.0,,0.0,0,0,1.023438,0.282928,0.74051,,,,0.267867,0.267867,,,16274.0,,-0.002207,,0.267867,3,1,1,3,0,0,0,0,,0.003156
2021-01-22,278.103333,282.666656,276.206665,282.213318,60199500,0.001953,0.549988,280.852661,,,,278.717187,277.197486,1.5197,0.690663,50.0,,,,,,,78238860.0,,,0.02289,,0.267867,0.094238,0.033286,21,15959,17154.714286,0.010255,TSLA,293.600006,0.040348,281.66333,0.001953,283.483337,-0.00448,281.516663,0.002475,,,,,-1.820007,,-0.011708,0.016923,,,61563300.0,76997700.0,76101000.0,,-0.200453,,50.0,,0.0,0,0,1.285307,0.483404,0.801903,,,,0.267867,0.267867,,,15797.0,,-0.029311,,0.267867,4,1,1,3,0,1,0,0,,-0.053695
2021-01-25,285.0,300.133331,279.606659,293.600006,123520200,0.040348,11.386688,284.495331,,,,281.006851,278.412488,2.594363,1.071403,50.0,,,,,0.0185,,79676340.0,,,0.069914,,0.267867,0.094238,0.033286,21,15723,15949.714286,-0.029385,TSLA,294.363342,0.0026,282.213318,0.040348,281.66333,0.042379,283.483337,0.035687,275.386658,0.066137,,,0.549988,,0.014779,0.02289,0.004845,,60199500.0,61563300.0,76997700.0,116332800.0,-0.022153,0.769432,50.0,50.0,0.0,0,0,1.5197,0.690663,0.829037,,,,0.267867,0.267867,0.267867,0.0,15959.0,,0.010255,,0.267867,0,1,1,4,1,0,0,0,,-0.005934
2021-01-26,297.126678,298.633331,290.533325,294.363342,69394800,0.0026,0.763336,287.064667,,,,283.061696,279.594033,3.467663,1.550655,50.0,,,,,0.018132,,78335100.0,,,0.027517,,0.267867,0.094238,0.033286,21,15583,15845.857143,-0.008904,TSLA,288.053345,-0.021436,293.600006,0.0026,282.213318,0.043053,281.66333,0.045089,281.516663,0.045634,,,11.386688,18.213348,0.030175,0.069914,0.032003,,123520200.0,60199500.0,61563300.0,76101000.0,1.051848,1.550275,50.0,50.0,0.0,0,0,2.594363,1.071403,1.52296,,0.0185,,0.267867,0.267867,0.267867,0.0,15723.0,,-0.014788,,0.267867,1,1,1,4,0,0,0,0,0.004956,0.281755
2021-01-27,290.116669,297.166656,286.220001,288.053345,82002000,-0.021436,-6.309998,287.978668,,,,283.829642,280.220648,3.608994,1.962323,50.0,,,,,0.02281,,79335960.0,,,0.038002,,0.267867,0.094238,0.033286,21,18066,16101.857143,0.15934,TSLA,278.476654,-0.033246,294.363342,-0.021436,293.600006,-0.018892,282.213318,0.020694,283.483337,0.016121,,,0.763336,12.84668,-0.0093,0.027517,0.025425,,69394800.0,123520200.0,60199500.0,76997700.0,-0.438191,0.885871,50.0,50.0,0.0,0,0,3.467663,1.550655,1.917008,,0.018132,,0.267867,0.267867,0.267867,0.0,15583.0,22452.0,-0.008904,,0.267867,2,1,1,4,0,0,0,0,0.004857,-0.117377
2021-01-28,273.333344,282.666656,267.0,278.476654,79134000,-0.033246,-9.576691,287.341333,,,,283.006105,280.091464,2.914642,2.152787,50.0,,,,,0.028214,,82850100.0,,,0.056258,,0.267867,0.094238,0.033286,21,22129,17006.428571,0.224898,TSLA,264.51001,-0.050154,288.053345,-0.033246,294.363342,-0.05397,293.600006,-0.05151,281.66333,-0.011314,,,-6.309998,4.570007,-0.007112,0.038002,0.000259,,82002000.0,69394800.0,123520200.0,61563300.0,0.181674,1.033604,50.0,50.0,0.0,0,0,3.608994,1.962323,1.646671,,0.02281,,0.267867,0.267867,0.267867,0.0,18066.0,16310.0,0.15934,,0.267867,3,1,1,4,0,0,0,0,0.00611,0.048664
2021-01-29,276.666656,280.803345,260.033325,264.51001,104972400,-0.050154,-13.966644,283.800671,282.326666,,,280.160552,278.937282,1.22327,1.966883,50.0,,,,,0.035174,,91804680.0,,,0.078523,0.040567,0.267867,0.094238,0.033286,21,19120,17458.0,-0.135975,TSLA,279.936676,0.058322,278.476654,-0.050154,288.053345,-0.081733,294.363342,-0.101417,282.213318,-0.06273,,,-9.576691,-3.186676,0.018817,0.056258,-0.030851,,79134000.0,82002000.0,69394800.0,60199500.0,-0.034975,0.955147,50.0,50.0,0.0,0,0,2.914642,2.152787,0.761855,,0.028214,,0.267867,0.267867,0.267867,0.0,22129.0,16274.0,0.224898,,0.267867,4,1,1,4,0,1,0,0,0.007558,-0.009369
